chapter,article,article_title,,,,,authority,,,,,,,,Detected(V/C)
1,1,Subject-matter and objectives,,,,,Polish National Personal Data Protection Office (UODO),,,,,,,,1
1,1,Subject-matter and objectives,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
1,1,Subject-matter and objectives,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
1,2,Material scope,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
1,2,Material scope,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
1,2,Material scope,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,0
1,2,Material scope,,,,,Hellenic Data Protection Authority (HDPA),,,,,,,,1
1,3,Territorial scope,,,,,Hellenic Data Protection Authority (HDPA),,,,,,,,1
1,3,Territorial scope,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,0
1,3,Territorial scope,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
1,3,Territorial scope,,,,,Data Protection Authority of Berlin,,,,,,,,1
1,4,Definitions,,,,,Belgian Data Protection Authority (APD),,,,,,,,1
1,4,Definitions,,,,,Polish National Personal Data Protection Office (UODO),,,,,,,,1
1,4,Definitions,,,,,Austrian Data Protection Authority (DSB),,,,,,,,1
1,4,Definitions,,,,,Data Protection Commission of Bulgaria (KZLD),,,,,,,,1
1,4,Definitions,,,,,Data Protection Commission of Bulgaria (KZLD),,,,,,,,1
1,4,Definitions,,,,,Data State Inspectorate (DSI),,,,,,,,1
2,5,Principles relating to processing of personal data,,,,,Data Protection Authority of Sweden,,,,,,,,1
2,5,Principles relating to processing of personal data,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
2,6,Lawfulness of processing,,,,,Austrian Data Protection Authority (DSB),,,,,,,,1
2,6,Lawfulness of processing,,,,,Hellenic Data Protection Authority (HDPA),,,,,,,,1
2,6,Lawfulness of processing,,,,,French Data Protection Authority (CNIL),,,,,,,,1
2,6,Lawfulness of processing,,,,,Information Commissioner (ICO),,,,,,,,1
2,6,Lawfulness of processing,,,,,Information Commissioner (ICO),,,,,,,,1
2,6,Lawfulness of processing,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,0
2,6,Lawfulness of processing,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
2,7,Conditions for consent,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
2,7,Conditions for consent,,,,,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),,,,,,,,1
2,7,Conditions for consent,,,,,Dutch Supervisory Authority for Data Protection (AP),,,,,,,,1
2,7,Conditions for consent,,,,,French Data Protection Authority (CNIL),,,,,,,,1
2,8,Conditions applicable to child's consent in relation to information society services,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
2,8,Conditions applicable to child's consent in relation to information society services,,,,,Danish Data Protection Authority (Datatilsynet),,,,,,,,1
2,8,Conditions applicable to child's consent in relation to information society services,,,,,Belgian Data Protection Authority (APD),,,,,,,,1
2,9,Processing of special categories of personal data,,,,,French Data Protection Authority (CNIL),,,,,,,,1
2,9,Processing of special categories of personal data,,,,,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),,,,,,,,1
2,9,Processing of special categories of personal data,,,,,Lithuanian Data Protection Authority (VDAI),,,,,,,,1
2,9,Processing of special categories of personal data,,,,,Czech Data Protection Authority (UOOU),,,,,,,,0
2,10,Processing of personal data relating to criminal convictions and offences,,,,,Data Protection Authority of Baden-Wuerttemberg,,,,,,,,1
2,11,Processing which does not require identification,,,,,Czech Data Protection Auhtority (UOOU),,,,,,,,1
2,11,Processing which does not require identification,,,,,Norwegian Supervisory Authority (Datatilsynet),,,,,,,,1
3,12,"Transparent information, communication and modalities for the exercise of the rights of the data subject",,,,,Polish National Personal Data Protection Office (UODO),,,,,,,,0
3,12,"Transparent information, communication and modalities for the exercise of the rights of the data subject",,,,,Italian Data Protection Authority (Garante),,,,,,,,1
3,12,"Transparent information, communication and modalities for the exercise of the rights of the data subject",,,,,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),,,,,,,,1
3,12,"Transparent information, communication and modalities for the exercise of the rights of the data subject",,,,,Data Protection Commission of Bulgaria (KZLD),,,,,,,,1
3,12,"Transparent information, communication and modalities for the exercise of the rights of the data subject",,,,,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),,,,,,,,1
3,12,"Transparent information, communication and modalities for the exercise of the rights of the data subject",,,,,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),,,,,,,,1
3,12,"Transparent information, communication and modalities for the exercise of the rights of the data subject",,,,,Norwegian Supervisory Authority (Datatilsynet),,,,,,,,0
3,12,"Transparent information, communication and modalities for the exercise of the rights of the data subject",,,,,Polish National Personal Data Protection Office (UODO),,,,,,,,1
3,12,"Transparent information, communication and modalities for the exercise of the rights of the data subject",,,,,Data Protection Commission of Bulgaria (KZLD),,,,,,,,1
3,12,"Transparent information, communication and modalities for the exercise of the rights of the data subject",,,,,Portuguese Data Protection Authority (CNPD),,,,,,,,1
3,13,Information to be provided where personal data are collected from the data subject,,,,,Czech Data Protection Authority (UOOU),,,,,,,,0
3,13,Information to be provided where personal data are collected from the data subject,,,,,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),,,,,,,,1
3,13,Information to be provided where personal data are collected from the data subject,,,,,Data Protection Authority of Berlin,,,,,,,,1
3,13,Information to be provided where personal data are collected from the data subject,,,,,Czech Data Protection Authority (UOOU),,,,,,,,1
3,14,Information to be provided where personal data have not been obtained from the data subject,,,,,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),,,,,,,,1
3,14,Information to be provided where personal data have not been obtained from the data subject,,,,,Bulgarian Commission for Personal Data Protection (KZLD),,,,,,,,1
3,14,Information to be provided where personal data have not been obtained from the data subject,,,,,Czech Data Protection Authority (UOOU),,,,,,,,1
3,14,Information to be provided where personal data have not been obtained from the data subject,,,,,Bulgarian Commission for Personal Data Protection (KZLD),,,,,,,,1
3,14,Information to be provided where personal data have not been obtained from the data subject,,,,,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),,,,,,,,1
3,14,Information to be provided where personal data have not been obtained from the data subject,,,,,Data Protection Commissioner of Malta,,,,,,,,1
3,14,Information to be provided where personal data have not been obtained from the data subject,,,,,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),,,,,,,,0
3,15,Right of access by the data subject,,,,,Data Protection Authority of Sachsen-Anhalt,,,,,,,,1
3,15,Right of access by the data subject,,,,,Portuguese Data Protection Authority (CNPD),,,,,,,,1
3,15,Right of access by the data subject,,,,,Czech Data Protection Authority (UOOU),,,,,,,,1
3,15,Right of access by the data subject,,,,,Czech Data Protection Authority (UOOU),,,,,,,,1
3,16,Right to rectification,,,,,French Data Protection Authority (CNIL),,,,,,,,1
3,17,Right to erasure (‘right to be forgotten’),,,,,Bulgarian Commission for Personal Data Protection (KZLD),,,,,,,,1
3,17,Right to erasure (‘right to be forgotten’),,,,,Czech Data Protection Authority (UOOU),,,,,,,,0
3,17,Right to erasure (‘right to be forgotten’),,,,,Cypriot Data Protection Commissioner,,,,,,,,1
3,17,Right to erasure (‘right to be forgotten’),,,,,Austrian Data Protection Authority (DSB),,,,,,,,1
3,18,Right to restriction of processing,,,,,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),,,,,,,,1
3,18,Right to restriction of processing,,,,,Data Protection Authority of Hamburg,,,,,,,,1
3,18,Right to restriction of processing,,,,,Austrian Data Protection Authority (DSB),,,,,,,,1
3,19,Notification obligation regarding rectification or erasure of personal data or restriction of processing,,,,,Data Protection Authority of Baden-Wuerttemberg,,,,,,,,1
3,20,Right to data portability,,,,,Czech Data Protection Auhtority (UOOU),,,,,,,,1
3,20,Right to data portability,,,,,Austrian Data Protection Authority (DSB),,,,,,,,1
3,20,Right to data portability,,,,,Portuguese Data Protection Authority (CNPD),,,,,,,,1
3,20,Right to data portability,,,,,Bulgarian Commission for Personal Data Protection (KZLD),,,,,,,,0
3,20,Right to data portability,,,,,Austrian Data Protection Authority (DSB),,,,,,,,1
3,21,Right to object,,,,,Data Protection Authority of Baden-Wuerttemberg,,,,,,,,1
3,21,Right to object,,,,,Data Protection Authority of Baden-Wuerttemberg,,,,,,,,1
3,21,Right to object,,,,,Data Protection Authority of Baden-Wuerttemberg,,,,,,,,1
3,21,Right to object,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
3,21,Right to object,,,,,Personal Data Protection Office,,,,,,,,0
3,21,Right to object,,,,,Information Commissioner,,,,,,,,1
3,22,"Automated individual decision-making, including profiling",,,,,Information Commissioner,,,,,,,,1
3,22,"Automated individual decision-making, including profiling",,,,,Information Commissioner,,,,,,,,1
3,22,"Automated individual decision-making, including profiling",,,,,Information Commissioner,,,,,,,,1
3,22,"Automated individual decision-making, including profiling",,,,,Data Protection Authority,,,,,,,,1
3,22,"Automated individual decision-making, including profiling",,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
3,23,Restrictions,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
3,23,Restrictions,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
3,23,Restrictions,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
4,24,Responsibility of the controller,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
4,24,Responsibility of the controller,,,,,Slovak Data Protection Office,,,,,,,,1
4,24,Responsibility of the controller,,,,,Slovak Data Protection Office,,,,,,,,1
4,25,Data protection by design and by default,,,,,Slovak Data Protection Office,,,,,,,,0
4,25,Data protection by design and by default,,,,,Slovak Data Protection Office,,,,,,,,0
4,25,Data protection by design and by default,,,,,Slovak Data Protection Office,,,,,,,,0
4,26,Joint controllers,,,,,Data Protection Authority of Hamburg,,,,,,,,0
4,26,Joint controllers,,,,,Data Protection Authority of Saarland,,,,,,,,0
4,26,Joint controllers,,,,,Data Protection Authority of Hamburg,,,,,,,,0
4,27,Representatives of controllers or processors not established in the Union,,,,,Data Protection Authority of Baden-Wuerttemberg,,,,,,,,0
4,27,Representatives of controllers or processors not established in the Union,,,,,Data Protection Authority of Berlin,,,,,,,,0
4,27,Representatives of controllers or processors not established in the Union,,,,,Austrian Data Protection Authority (DSB),,,,,,,,0
4,27,Representatives of controllers or processors not established in the Union,,,,,Cypriot Data Protection Commissioner,,,,,,,,0
4,27,Representatives of controllers or processors not established in the Union,,,,,Danish Data Protection Authority (Datatilsynet),,,,,,,,0
4,27,Representatives of controllers or processors not established in the Union,,,,,Dutch Supervisory Authority for Data Protection (AP),,,,,,,,0
4,28,Processor,,,,,Polish National Personal Data Protection Office (UODO),,,,,,,,0
4,28,Processor,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
4,28,Processor,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
4,28,Processor,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
4,29,Processing under the authority of the controller or processor,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
4,30,Records of processing activities,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
4,30,Records of processing activities,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
4,30,Records of processing activities,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
4,30,Records of processing activities,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
4,30,Records of processing activities,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
4,31,Cooperation with the supervisory authority,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
4,32,Security of processing,,,,,French Data Protection Authority (CNIL),,,,,,,,1
4,32,Security of processing,,,,,Data State Inspectorate (DSI),,,,,,,,1
4,32,Security of processing,,,,,Cypriot Data Protection Commissioner,,,,,,,,1
4,32,Security of processing,,,,,Czech Data Protection Authority (UOOU),,,,,,,,1
4,33,Notification of a personal data breach to the supervisory authority,,,,,Czech Data Protection Authority (UOOU),,,,,,,,1
4,33,Notification of a personal data breach to the supervisory authority,,,,,Czech Data Protection Authority (UOOU),,,,,,,,1
4,33,Notification of a personal data breach to the supervisory authority,,,,,Portuguese Data Protection Authority (CNPD),,,,,,,,1
4,33,Notification of a personal data breach to the supervisory authority,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
4,33,Notification of a personal data breach to the supervisory authority,,,,,Slovak Data Protection Office,,,,,,,,1
4,34,Communication of a personal data breach to the data subject,,,,,Slovak Data Protection Office,,,,,,,,1
4,34,Communication of a personal data breach to the data subject,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
4,34,Communication of a personal data breach to the data subject,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
4,34,Communication of a personal data breach to the data subject,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,0
4,35,Data protection impact assessment,,,,,Belgian Data Protection Authority (APD),,,,,,,,0
4,35,Data protection impact assessment,,,,,Belgian Data Protection Authority (APD),,,,,,,,0
4,35,Data protection impact assessment,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,0
4,35,Data protection impact assessment,,,,,Data Protection Authority of Rheinland-Pfalz,,,,,,,,0
4,35,Data protection impact assessment,,,,,The Federal Commissioner for Data Protection and Freedom of Information (BfDI),,,,,,,,1
4,35,Data protection impact assessment,,,,,The Federal Commissioner for Data Protection and Freedom of Information (BfDI),,,,,,,,1
4,35,Data protection impact assessment,,,,,Data Protection Commission of Bulgaria (KZLD),,,,,,,,1
4,35,Data protection impact assessment,,,,,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),,,,,,,,1
4,35,Data protection impact assessment,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
4,35,Data protection impact assessment,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
4,35,Data protection impact assessment,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
4,35,Data protection impact assessment,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
4,35,Data protection impact assessment,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
4,36,Prior consultation,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
4,36,Prior consultation,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
4,36,Prior consultation,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
4,36,Prior consultation,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,0
4,36,Prior consultation,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
4,36,Prior consultation,,,,,Belgian Data Protection Authority (APD),,,,,,,,0
4,37,Designation of the data protection officer,,,,,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),,,,,,,,1
4,37,Designation of the data protection officer,,,,,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),,,,,,,,1
4,37,Designation of the data protection officer,,,,,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),,,,,,,,0
4,37,Designation of the data protection officer,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
4,37,Designation of the data protection officer,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
4,37,Designation of the data protection officer,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
4,37,Designation of the data protection officer,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,0
4,37,Designation of the data protection officer,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
4,38,Position of the data protection officer,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
4,38,Position of the data protection officer,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,0
4,38,Position of the data protection officer,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,0
4,38,Position of the data protection officer,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,0
4,38,Position of the data protection officer,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
4,38,Position of the data protection officer,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
4,39,Tasks of the data protection officer,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
4,39,Tasks of the data protection officer,,,,,Information Commissioner (ICO),,,,,,,,1
4,40,Codes of conduct,,,,,Dutch Supervisory Authority for Data Protection (AP),,,,,,,,0
4,40,Codes of conduct,,,,,Hellenic Data Protection Authority (HDPA),,,,,,,,1
4,40,Codes of conduct,,,,,Data Protection Authority of Sweden,,,,,,,,1
4,40,Codes of conduct,,,,,Belgian Data Protection Authority (APD),,,,,,,,1
4,40,Codes of conduct,,,,,Data Protection Commission of Bulgaria (KZLD),,,,,,,,1
4,40,Codes of conduct,,,,,Data Protection Commission of Bulgaria (KZLD),,,,,,,,1
4,40,Codes of conduct,,,,,Bulgarian Commission for Personal Data Protection (KZLD),,,,,,,,1
4,40,Codes of conduct,,,,,Data Protection Commission of Bulgaria (KZLD),,,,,,,,0
4,40,Codes of conduct,,,,,Data Protection Commission of Bulgaria (KZLD),,,,,,,,1
4,40,Codes of conduct,,,,,Data Protection Commission of Bulgaria (KZLD),,,,,,,,1
4,40,Codes of conduct,,,,,Data Protection Commission of Bulgaria (KZLD),,,,,,,,1
4,40,Codes of conduct,,,,,Data Protection Commission of Bulgaria (KZLD),,,,,,,,1
4,41,Monitoring of approved codes of conduct,,,,,Data Protection Authority of Mecklenburg-Vorpommern,,,,,,,,1
4,41,Monitoring of approved codes of conduct,,,,,Data Protection Authority of Saarland,,,,,,,,1
4,41,Monitoring of approved codes of conduct,,,,,Data Protection Authority of Niedersachsen,,,,,,,,0
4,41,Monitoring of approved codes of conduct,,,,,Cypriot Data Protection Commissioner,,,,,,,,1
4,41,Monitoring of approved codes of conduct,,,,,Cypriot Data Protection Commissioner,,,,,,,,1
4,41,Monitoring of approved codes of conduct,,,,,Cypriot Data Protection Commissioner,,,,,,,,1
4,41,Monitoring of approved codes of conduct,,,,,Cypriot Data Protection Commissioner,,,,,,,,1
4,42,Certification,,,,,Cypriot Data Protection Commissioner,,,,,,,,1
4,42,Certification,,,,,Hellenic Data Protection Authority (HDPA),,,,,,,,1
4,42,Certification,,,,,Italian Data Protection Authority (Garante),,,,,,,,1
4,42,Certification,,,,,Italian Data Protection Authority (Garante),,,,,,,,0
4,42,Certification,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
4,42,Certification,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
4,42,Certification,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
4,42,Certification,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
4,43,Certification bodies,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
4,43,Certification bodies,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
4,43,Certification bodies,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
4,43,Certification bodies,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
4,43,Certification bodies,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,0
4,43,Certification bodies,,,,,Italian Data Protection Authority (Garante),,,,,,,,1
4,43,Certification bodies,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
4,43,Certification bodies,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
4,43,Certification bodies,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
4,43,Certification bodies,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,0
5,44,General principle for transfers,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,0
5,45,Transfers on the basis of an adequacy decision,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,0
5,45,Transfers on the basis of an adequacy decision,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
5,45,Transfers on the basis of an adequacy decision,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
5,45,Transfers on the basis of an adequacy decision,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
