chapter,article,article_title,,,,,authority,,,,,,,,Detected(V/C)
5,45,Transfers on the basis of an adequacy decision,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
5,45,Transfers on the basis of an adequacy decision,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
5,45,Transfers on the basis of an adequacy decision,,,,,Italian Data Protection Authority (Garante),,,,,,,,0
5,45,Transfers on the basis of an adequacy decision,,,,,Data Protection Authority of Hamburg,,,,,,,,1
5,45,Transfers on the basis of an adequacy decision,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
5,45,Transfers on the basis of an adequacy decision,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,0
5,46,Transfers subject to appropriate safeguards,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,0
5,46,Transfers subject to appropriate safeguards,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,0
5,46,Transfers subject to appropriate safeguards,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
5,46,Transfers subject to appropriate safeguards,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
5,46,Transfers subject to appropriate safeguards,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
5,46,Transfers subject to appropriate safeguards,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
5,46,Transfers subject to appropriate safeguards,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
5,47,Binding corporate rules,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
5,47,Binding corporate rules,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
5,47,Binding corporate rules,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,0
5,47,Binding corporate rules,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
5,47,Binding corporate rules,,,,,Dutch Supervisory Authority for Data Protection (AP),,,,,,,,1
5,48,Transfers or disclosures not authorised by Union law,,,,,Polish National Personal Data Protection Office (UODO),,,,,,,,1
5,49,Derogations for specific situations,,,,,Private person,,,,,,,,0
5,49,Derogations for specific situations,,,,,Italian Data Protection Authority (Garante),,,,,,,,1
5,49,Derogations for specific situations,,,,,Italian Data Protection Authority (Garante),,,,,,,,1
5,49,Derogations for specific situations,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
5,49,Derogations for specific situations,,,,,Icelandic Data Protection Authority ('Persónuvernd'),,,,,,,,0
5,49,Derogations for specific situations,,,,,Icelandic Data Protection Authority ('Persónuvernd'),,,,,,,,1
5,49,Derogations for specific situations,,,,,Danish Data Protection Authority (Datatilsynet),,,,,,,,1
5,50,International cooperation for the protection of personal data,,,,,Danish Data Protection Authority (Datatilsynet),,,,,,,,1
6,51,Supervisory authority,,,,,Data Protection Authority of Sweden,,,,,,,,1
6,51,Supervisory authority,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
6,51,Supervisory authority,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,0
6,51,Supervisory authority,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
6,52,Independence,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
6,52,Independence,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
6,52,Independence,,,,,Croatian Data Protection Authority (AZOP),,,,,,,,1
6,52,Independence,,,,,Czech Data Protection Auhtority (UOOU),,,,,,,,1
6,52,Independence,,,,,Data Protection Authority of Saarland,,,,,,,,0
6,52,Independence,,,,,Data Protection Authority of Hamburg,,,,,,,,1
6,53,General conditions for the members of the supervisory authority,,,,,Data Protection Authority of Baden-Wuerttemberg,,,,,,,,1
6,53,General conditions for the members of the supervisory authority,,,,,Data Protection Authority of Nordrhein-Westfalen,,,,,,,,1
6,53,General conditions for the members of the supervisory authority,,,,,Data Protection Authority of Baden-Wuerttemberg,,,,,,,,1
6,53,General conditions for the members of the supervisory authority,,,,,Hellenic Data Protection Authority (HDPA),,,,,,,,1
6,53,General conditions for the members of the supervisory authority,,,,,Polish National Personal Data Protection Office (UODO),,,,,,,,0
6,54,Rules on the establishment of the supervisory authority,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,0
6,54,Rules on the establishment of the supervisory authority,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,0
6,55,Competence,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
6,55,Competence,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
6,55,Competence,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
6,56,Competence of the lead supervisory authority,,,,,Hellenic Data Protection Authority (HDPA),,,,,,,,1
6,56,Competence of the lead supervisory authority,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,0
6,56,Competence of the lead supervisory authority,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
6,56,Competence of the lead supervisory authority,,,,,Data Protection Authority of Berlin,,,,,,,,0
6,56,Competence of the lead supervisory authority,,,,,Belgian Data Protection Authority (APD),,,,,,,,1
6,56,Competence of the lead supervisory authority,,,,,Polish National Personal Data Protection Office (UODO),,,,,,,,1
6,57,Tasks,,,,,Austrian Data Protection Authority (DSB),,,,,,,,1
6,57,Tasks,,,,,Data Protection Commission of Bulgaria (KZLD),,,,,,,,0
6,57,Tasks,,,,,Data Protection Commission of Bulgaria (KZLD),,,,,,,,0
6,57,Tasks,,,,,Data State Inspectorate (DSI),,,,,,,,1
6,57,Tasks,,,,,Data Protection Authority of Sweden,,,,,,,,1
6,58,Powers,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,0
6,58,Powers,,,,,Austrian Data Protection Authority (DSB),,,,,,,,1
6,58,Powers,,,,,Hellenic Data Protection Authority (HDPA),,,,,,,,0
6,58,Powers,,,,,French Data Protection Authority (CNIL),,,,,,,,1
6,58,Powers,,,,,Information Commissioner (ICO),,,,,,,,0
6,58,Powers,,,,,Information Commissioner (ICO),,,,,,,,1
6,58,Powers,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
6,59,Activity reports,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,0
7,60,Cooperation between the lead supervisory authority and the other supervisory authorities concerned,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
7,60,Cooperation between the lead supervisory authority and the other supervisory authorities concerned,,,,,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),,,,,,,,0
7,60,Cooperation between the lead supervisory authority and the other supervisory authorities concerned,,,,,Dutch Supervisory Authority for Data Protection (AP),,,,,,,,0
7,60,Cooperation between the lead supervisory authority and the other supervisory authorities concerned,,,,,French Data Protection Authority (CNIL),,,,,,,,1
7,60,Cooperation between the lead supervisory authority and the other supervisory authorities concerned,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
7,60,Cooperation between the lead supervisory authority and the other supervisory authorities concerned,,,,,Danish Data Protection Authority (Datatilsynet),,,,,,,,1
7,60,Cooperation between the lead supervisory authority and the other supervisory authorities concerned,,,,,Belgian Data Protection Authority (APD),,,,,,,,0
7,60,Cooperation between the lead supervisory authority and the other supervisory authorities concerned,,,,,French Data Protection Authority (CNIL),,,,,,,,0
7,60,Cooperation between the lead supervisory authority and the other supervisory authorities concerned,,,,,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),,,,,,,,1
7,60,Cooperation between the lead supervisory authority and the other supervisory authorities concerned,,,,,Lithuanian Data Protection Authority (VDAI),,,,,,,,1
7,60,Cooperation between the lead supervisory authority and the other supervisory authorities concerned,,,,,Czech Data Protection Authority (UOOU),,,,,,,,1
7,60,Cooperation between the lead supervisory authority and the other supervisory authorities concerned,,,,,Data Protection Authority of Baden-Wuerttemberg,,,,,,,,1
7,61,Mutual assistance,,,,,Czech Data Protection Auhtority (UOOU),,,,,,,,1
7,61,Mutual assistance,,,,,Norwegian Supervisory Authority (Datatilsynet),,,,,,,,0
7,61,Mutual assistance,,,,,Polish National Personal Data Protection Office (UODO),,,,,,,,0
7,61,Mutual assistance,,,,,Italian Data Protection Authority (Garante),,,,,,,,1
7,61,Mutual assistance,,,,,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),,,,,,,,0
7,61,Mutual assistance,,,,,Data Protection Commission of Bulgaria (KZLD),,,,,,,,0
7,61,Mutual assistance,,,,,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),,,,,,,,0
7,61,Mutual assistance,,,,,Norwegian Supervisory Authority (Datatilsynet),,,,,,,,0
7,61,Mutual assistance,,,,,Polish National Personal Data Protection Office (UODO),,,,,,,,1
7,61,Mutual assistance,,,,,Data Protection Commission of Bulgaria (KZLD),,,,,,,,1
7,62,Joint operations of supervisory authorities,,,,,Portuguese Data Protection Authority (CNPD),,,,,,,,1
7,62,Joint operations of supervisory authorities,,,,,Data Protection Authority of Berlin,,,,,,,,0
7,62,Joint operations of supervisory authorities,,,,,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),,,,,,,,0
7,62,Joint operations of supervisory authorities,,,,,Bulgarian Commission for Personal Data Protection (KZLD),,,,,,,,1
7,62,Joint operations of supervisory authorities,,,,,Bulgarian Commission for Personal Data Protection (KZLD),,,,,,,,1
7,62,Joint operations of supervisory authorities,,,,,Data Protection Commissioner of Malta,,,,,,,,0
7,62,Joint operations of supervisory authorities,,,,,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),,,,,,,,0
7,63,Consistency mechanism,,,,,Data Protection Authority of Sachsen-Anhalt,,,,,,,,1
7,64,Opinion of the Board,,,,,Czech Data Protection Authority (UOOU),,,,,,,,0
7,64,Opinion of the Board,,,,,Czech Data Protection Authority (UOOU),,,,,,,,0
7,64,Opinion of the Board,,,,,French Data Protection Authority (CNIL),,,,,,,,1
7,64,Opinion of the Board,,,,,Bulgarian Commission for Personal Data Protection (KZLD),,,,,,,,1
7,64,Opinion of the Board,,,,,Czech Data Protection Authority (UOOU),,,,,,,,0
7,64,Opinion of the Board,,,,,Cypriot Data Protection Commissioner,,,,,,,,1
7,64,Opinion of the Board,,,,,Data Protection Authority of Hamburg,,,,,,,,1
7,64,Opinion of the Board,,,,,Austrian Data Protection Authority (DSB),,,,,,,,1
7,64,Opinion of the Board,,,,,Data Protection Authority of Baden-Wuerttemberg,,,,,,,,1
7,64,Opinion of the Board,,,,,Portuguese Data Protection Authority (CNPD),,,,,,,,0
7,65,Dispute resolution by the Board,,,,,Austrian Data Protection Authority (DSB),,,,,,,,0
7,65,Dispute resolution by the Board,,,,,Data Protection Authority of Baden-Wuerttemberg,,,,,,,,1
7,65,Dispute resolution by the Board,,,,,Data Protection Authority of Baden-Wuerttemberg,,,,,,,,1
7,65,Dispute resolution by the Board,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
7,65,Dispute resolution by the Board,,,,,Personal Data Protection Office,,,,,,,,0
7,65,Dispute resolution by the Board,,,,,Information Commissioner,,,,,,,,1
7,66,Urgency procedure,,,,,Information Commissioner,,,,,,,,1
7,66,Urgency procedure,,,,,Information Commissioner,,,,,,,,0
7,66,Urgency procedure,,,,,Information Commissioner,,,,,,,,0
7,66,Urgency procedure,,,,,Data Protection Authority,,,,,,,,0
7,67,Exchange of information,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,0
7,68,European Data Protection Board,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,0
7,68,European Data Protection Board,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
7,68,European Data Protection Board,,,,,Slovak Data Protection Office,,,,,,,,0
7,68,European Data Protection Board,,,,,Cypriot Data Protection Commissioner,,,,,,,,1
7,68,European Data Protection Board,,,,,Danish Data Protection Authority (Datatilsynet),,,,,,,,1
7,68,European Data Protection Board,,,,,Dutch Supervisory Authority for Data Protection (AP),,,,,,,,1
7,69,Independence,,,,,Polish National Personal Data Protection Office (UODO),,,,,,,,0
7,69,Independence,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
7,70,Tasks of the Board,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
7,70,Tasks of the Board,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
7,70,Tasks of the Board,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
7,70,Tasks of the Board,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
7,70,Tasks of the Board,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
7,70,Tasks of the Board,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
7,70,Tasks of the Board,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
7,70,Tasks of the Board,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,0
7,71,Reports,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
7,71,Reports,,,,,French Data Protection Authority (CNIL),,,,,,,,1
7,72,Procedure,,,,,Cypriot Data Protection Commissioner,,,,,,,,1
7,72,Procedure,,,,,Czech Data Protection Authority (UOOU),,,,,,,,0
7,73,Chair,,,,,Czech Data Protection Authority (UOOU),,,,,,,,1
7,73,Chair,,,,,Czech Data Protection Authority (UOOU),,,,,,,,1
7,74,Tasks of the Chair,,,,,Slovak Data Protection Office,,,,,,,,0
7,74,Tasks of the Chair,,,,,Slovak Data Protection Office,,,,,,,,0
7,75,Secretariat,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,0
7,75,Secretariat,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,0
7,75,Secretariat,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,0
7,75,Secretariat,,,,,Belgian Data Protection Authority (APD),,,,,,,,1
7,75,Secretariat,,,,,Belgian Data Protection Authority (APD),,,,,,,,1
7,75,Secretariat,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
7,76,Confidentiality,,,,,Data Protection Authority of Rheinland-Pfalz,,,,,,,,1
7,76,Confidentiality,,,,,The Federal Commissioner for Data Protection and Freedom of Information (BfDI),,,,,,,,1
8,77,Right to lodge a complaint with a supervisory authority,,,,,The Federal Commissioner for Data Protection and Freedom of Information (BfDI),,,,,,,,1
8,77,Right to lodge a complaint with a supervisory authority,,,,,Data Protection Commission of Bulgaria (KZLD),,,,,,,,1
8,78,Right to an effective judicial remedy against a supervisory authority,,,,,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),,,,,,,,0
8,78,Right to an effective judicial remedy against a supervisory authority,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
8,78,Right to an effective judicial remedy against a supervisory authority,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
8,78,Right to an effective judicial remedy against a supervisory authority,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,0
8,79,Right to an effective judicial remedy against a controller or processor,,,,,Belgian Data Protection Authority (APD),,,,,,,,1
8,79,Right to an effective judicial remedy against a controller or processor,,,,,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),,,,,,,,0
8,80,Representation of data subjects,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
8,80,Representation of data subjects,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
8,81,Suspension of proceedings,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,0
8,81,Suspension of proceedings,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,0
8,81,Suspension of proceedings,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
8,82,Right to compensation and liability,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,0
8,82,Right to compensation and liability,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
8,82,Right to compensation and liability,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,0
8,82,Right to compensation and liability,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,0
8,82,Right to compensation and liability,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
8,82,Right to compensation and liability,,,,,Information Commissioner (ICO),,,,,,,,0
8,83,General conditions for imposing administrative fines,,,,,Dutch Supervisory Authority for Data Protection (AP),,,,,,,,1
8,83,General conditions for imposing administrative fines,,,,,Hellenic Data Protection Authority (HDPA),,,,,,,,1
8,83,General conditions for imposing administrative fines,,,,,Data Protection Authority of Sweden,,,,,,,,1
8,83,General conditions for imposing administrative fines,,,,,Belgian Data Protection Authority (APD),,,,,,,,1
8,83,General conditions for imposing administrative fines,,,,,Data Protection Commission of Bulgaria (KZLD),,,,,,,,1
8,83,General conditions for imposing administrative fines,,,,,Data Protection Commission of Bulgaria (KZLD),,,,,,,,1
8,83,General conditions for imposing administrative fines,,,,,Data Protection Commission of Bulgaria (KZLD),,,,,,,,1
8,83,General conditions for imposing administrative fines,,,,,Data Protection Commission of Bulgaria (KZLD),,,,,,,,0
8,83,General conditions for imposing administrative fines,,,,,Data Protection Commission of Bulgaria (KZLD),,,,,,,,1
8,83,General conditions for imposing administrative fines,,,,,Data Protection Commission of Bulgaria (KZLD),,,,,,,,1
8,84,Penalties,,,,,Cypriot Data Protection Commissioner,,,,,,,,1
8,84,Penalties,,,,,Cypriot Data Protection Commissioner,,,,,,,,0
9,85,Processing and freedom of expression and information,,,,,Cypriot Data Protection Commissioner,,,,,,,,1
9,85,Processing and freedom of expression and information,,,,,Cypriot Data Protection Commissioner,,,,,,,,1
9,85,Processing and freedom of expression and information,,,,,Cypriot Data Protection Commissioner,,,,,,,,1
9,86,Processing and public access to official documents,,,,,Hellenic Data Protection Authority (HDPA),,,,,,,,0
9,87,Processing of the national identification number,,,,,Italian Data Protection Authority (Garante),,,,,,,,1
9,88,Processing in the context of employment,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
9,88,Processing in the context of employment,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,1
9,88,Processing in the context of employment,,,,,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),,,,,,,,0
9,89,"Safeguards and derogations relating to processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes",,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
9,89,"Safeguards and derogations relating to processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes",,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
9,89,"Safeguards and derogations relating to processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes",,,,,Spanish Data Protection Authority (AEPD),,,,,,,,0
9,89,"Safeguards and derogations relating to processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes",,,,,Italian Data Protection Authority (Garante),,,,,,,,0
9,90,Obligations of secrecy,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,0
9,90,Obligations of secrecy,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
9,91,Existing data protection rules of churches and religious associations,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
9,91,Existing data protection rules of churches and religious associations,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
10,92,Committee procedure,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,0
10,92,Committee procedure,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,0
10,92,Committee procedure,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
10,92,Committee procedure,,,,,Italian Data Protection Authority (Garante),,,,,,,,1
10,92,Committee procedure,,,,,Data Protection Authority of Hamburg,,,,,,,,1
10,93,Ausschussverfahren,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,0
10,93,Ausschussverfahren,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
10,93,Ausschussverfahren,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
11,94,Repeal of Directive 95/46/EC,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
11,94,Repeal of Directive 95/46/EC,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,0
11,95,Relationship with Directive 2002/58/EC,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
11,96,Relationship with previously concluded Agreements,,,,,Dutch Supervisory Authority for Data Protection (AP),,,,,,,,1
11,97,Commission reports,,,,,Polish National Personal Data Protection Office (UODO),,,,,,,,0
11,97,Commission reports,,,,,Private person,,,,,,,,1
11,97,Commission reports,,,,,Italian Data Protection Authority (Garante),,,,,,,,0
11,97,Commission reports,,,,,Italian Data Protection Authority (Garante),,,,,,,,1
11,97,Commission reports,,,,,Spanish Data Protection Authority (AEPD),,,,,,,,1
11,98,Review of other Union legal acts on data protection,,,,,Icelandic Data Protection Authority ('Persónuvernd'),,,,,,,,1
11,99,Entry into force and application,,,,,Icelandic Data Protection Authority ('Persónuvernd'),,,,,,,,1
11,99,Entry into force and application,,,,,Danish Data Protection Authority (Datatilsynet),,,,,,,,1
